Dte.,Barris,"1r Trimestre 2015","2n Trimestre 2015","3r Trimestre 2015","4rt Trimestre 2015","1r Trimestre 2015 (acumulat)","2n Trimestre 2015 (acumulat)","3r Trimestre 2015 (acumulat)","4rt Trimestre 2015 (acumulat)"
1,"1. el Raval",63.0,59.1,61.7,61.0,63.0,60.9,61.2,61.1
1,"2. el Barri Gòtic",82.1,77.3,77.5,80.7,82.1,79.6,79.0,79.5
1,"3. la Barceloneta",39.7,38.3,36.9,37.7,39.7,39.0,38.3,38.2
1,"4. Sant Pere, Santa Caterina i la Ribera",69.4,63.2,60.7,64.5,69.4,66.1,64.5,64.5
2,"5. el Fort Pienc",78.9,74.0,71.1,73.6,78.9,76.4,74.5,74.3
2,"6. la Sagrada Família",70.9,66.4,67.1,66.7,70.9,68.6,68.1,67.7
2,"7. la Dreta de l'Eixample",101.8,101.2,95.5,95.0,101.8,101.5,99.5,98.1
2,"8. l'Antiga Esquerra de l'Eixample",87.1,88.2,84.9,86.7,87.1,87.7,86.7,86.7
2,"9. la Nova Esquerra de l'Eixample",76.7,71.7,74.8,71.5,76.7,74.2,74.4,73.6
2,"10. Sant Antoni",76.9,72.7,74.9,73.6,76.9,74.8,74.8,74.4
3,"11. el Poble Sec - AEI Parc Montjuïc",59.5,56.9,58.5,59.2,59.5,58.2,58.3,58.5
3,"12. la Marina del Prat Vermell - AEI Zona Franca",91.5,56.4,62.7,60.9,91.5,66.4,65.3,63.2
3,"13. la Marina de Port",70.5,66.0,65.9,69.3,70.5,68.0,67.2,67.7
3,"14. la Font de la Guatlla",70.3,66.3,65.8,65.1,70.3,68.4,67.5,66.9
3,"15. Hostafrancs",63.3,59.3,60.6,60.7,63.3,61.4,61.2,61.0
3,"16. la Bordeta",73.9,67.2,64.4,67.1,73.9,70.9,68.8,68.3
3,"17. Sants - Badal",64.3,58.6,62.1,61.2,64.3,61.2,61.5,61.5
3,"18. Sants",62.9,60.8,66.5,63.1,62.9,61.8,63.5,63.4
4,"19. les Corts",81.4,74.6,74.4,77.4,81.4,78.0,76.6,76.8
4,"20. la Maternitat i Sant Ramon",74.2,72.0,71.6,68.9,74.2,73.0,72.3,71.3
4,"21. Pedralbes",108.4,129.1,130.7,109.6,108.4,117.8,122.7,119.8
5,"22. Vallvidrera, el Tibidabo i les Planes",95.3,63.8,66.1,84.9,95.3,83.8,74.2,78.5
5,"23. Sarrià",83.5,84.1,81.8,80.3,83.5,83.7,82.9,82.3
5,"24. les Tres Torres",108.2,105.6,100.3,104.3,108.2,107.0,104.4,104.4
5,"25. Sant Gervasi - la Bonanova",97.9,89.4,89.6,82.2,97.9,93.3,92.0,89.2
5,"26. Sant Gervasi - Galvany",102.5,98.2,104.7,96.2,102.5,100.3,102.0,100.4
5,"27. el Putxet i el Farró",72.2,69.5,71.9,70.3,72.2,71.0,71.2,71.0
6,"28. Vallcarca i els Penitents",77.2,66.2,64.6,67.5,77.2,71.2,69.0,68.5
6,"29. el Coll",63.8,58.5,58.5,55.9,63.8,61.3,60.3,59.0
6,"30. la Salut",71.2,60.0,71.8,68.4,71.2,66.7,68.3,68.3
6,"31. la Vila de Gràcia",66.4,64.1,64.6,65.3,66.4,65.3,65.1,65.1
6,"32. el Camp d'en Grassot i Gràcia Nova",69.0,67.3,69.2,64.7,69.0,68.2,68.5,67.4
7,"33. el Baix Guinardó",65.6,65.4,65.7,62.7,65.6,65.5,65.6,64.7
7,"34. Can Baró",64.2,58.7,58.3,55.2,64.2,61.0,59.8,58.5
7,"35. el Guinardó",64.0,61.8,63.6,62.4,64.0,62.9,63.1,62.9
7,"36. la Font d'en Fargues",77.0,69.3,66.1,61.5,77.0,73.4,71.3,68.3
7,"37. el Carmel",60.4,57.7,58.9,59.7,60.4,59.1,59.0,59.2
7,"38. la Teixonera",60.9,58.9,58.4,58.6,60.9,60.0,59.5,59.2
7,"39. Sant Genís dels Agudells",74.5,72.0,67.1,66.1,74.5,72.9,70.8,69.5
7,"40. Montbau",69.5,67.8,59.3,68.5,69.5,68.5,65.7,66.6
7,"41. la Vall d'Hebron",81.5,79.6,62.0,72.8,81.5,80.6,74.8,74.1
7,"42. la Clota",35.0,110.0,62.6,87.0,35.0,53.8,58.7,61.5
7,"43. Horta",67.6,63.0,61.3,65.3,67.6,65.1,63.7,64.1
