"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,"69,9",,,,,,,
1,"1. el Raval","59,7",,,,,,,
1,"2. el Barri Gòtic","73,2",,,,,,,
1,"3. la Barceloneta","39,4",,,,,,,
1,"4. Sant Pere, Santa Caterina i la Ribera","66,6",,,,,,,
2,"5. el Fort Pienc","73,7",,,,,,,
2,"6. la Sagrada Família","69,7",,,,,,,
2,"7. la Dreta de l'Eixample","99,6",,,,,,,
2,"8. l'Antiga Esquerra de l'Eixample","82,5",,,,,,,
2,"9. la Nova Esquerra de l'Eixample","76,1",,,,,,,
2,"10. Sant Antoni","76,7",,,,,,,
3,"11. el Poble Sec - AEI Parc Montjuïc","58,9",,,,,,,
3,"12. la Marina del Prat Vermell - AEI Zona Franca",70,,,,,,,
3,"13. la Marina de Port","72,5",,,,,,,
3,"14. la Font de la Guatlla","66,9",,,,,,,
3,"15. Hostafrancs","58,8",,,,,,,
3,"16. la Bordeta","70,8",,,,,,,
3,"17. Sants - Badal","57,7",,,,,,,
3,"18. Sants","61,7",,,,,,,
4,"19. les Corts","73,5",,,,,,,
4,"20. la Maternitat i Sant Ramon","71,7",,,,,,,
4,"21. Pedralbes","121,9",,,,,,,
5,"22. Vallvidrera, el Tibidabo i les Planes","96,6",,,,,,,
5,"23. Sarrià","81,2",,,,,,,
5,"24. les Tres Torres","102,5",,,,,,,
5,"25. Sant Gervasi - la Bonanova","84,7",,,,,,,
5,"26. Sant Gervasi - Galvany","99,9",,,,,,,
5,"27. el Putxet i el Farró","69,7",,,,,,,
6,"28. Vallcarca i els Penitents","70,9",,,,,,,
6,"29. el Coll","60,4",,,,,,,
6,"30. la Salut","75,1",,,,,,,
6,"31. la Vila de Gràcia","63,8",,,,,,,
6,"32. el Camp d'en Grassot i Gràcia Nova","68,7",,,,,,,
7,"33. el Baix Guinardó","63,9",,,,,,,
7,"34. Can Baró","57,8",,,,,,,
7,"35. el Guinardó","62,5",,,,,,,
7,"36. la Font d'en Fargues","64,8",,,,,,,
7,"37. el Carmel","55,2",,,,,,,
7,"38. la Teixonera","63,4",,,,,,,
7,"39. Sant Genís dels Agudells","71,2",,,,,,,
7,"40. Montbau",63,,,,,,,
7,"41. la Vall d'Hebron","75,3",,,,,,,
7,"42. la Clota","nd",,,,,,,
7,"43. Horta","62,4",,,,,,,
8,"44. Vilapicina i la Torre Llobeta","65,1",,,,,,,
8,"45. Porta","64,8",,,,,,,
8,"46. el Turó de la Peira",59,,,,,,,
8,"47. Can Peguera",52,,,,,,,
8,"48. la Guineueta","68,9",,,,,,,
8,"49. Canyelles","85,9",,,,,,,
8,"50. les Roquetes","57,2",,,,,,,
8,"51. Verdun","55,3",,,,,,,
8,"52. la Prosperitat",57,,,,,,,
8,"53. la Trinitat Nova","55,1",,,,,,,
8,"54. Torre Baró","58,6",,,,,,,
8,"55. Ciutat Meridiana",59,,,,,,,
8,"56. Vallbona","88,3",,,,,,,
9,"57. la Trinitat Vella",58,,,,,,,
9,"58. Baró de Viver","69,3",,,,,,,
9,"59. el Bon Pastor",68,,,,,,,
9,"60. Sant Andreu","62,8",,,,,,,
9,"61. la Sagrera","58,7",,,,,,,
9,"62. el Congrés i els Indians","67,1",,,,,,,
9,"63. Navas","70,7",,,,,,,
10,"64. el Camp de l'Arpa del Clot","63,4",,,,,,,
10,"65. el Clot","67,7",,,,,,,
10,"66. el Parc i la Llacuna del Poblenou","71,9",,,,,,,
10,"67. la Vila Olímpica del Poblenou","81,7",,,,,,,
10,"68. el Poblenou","67,8",,,,,,,
10,"69. Diagonal Mar i el Front Marítim del Poblenou","84,2",,,,,,,
10,"70. el Besòs i el Maresme","62,2",,,,,,,
10,"71. Provençals del Poblenou","69,4",,,,,,,
10,"72. Sant Martí de Provençals","71,9",,,,,,,
10,"73. la Verneda i la Pau","69,4",,,,,,,
