,Unnamed: 0,Dte.,Barris,1r Trimestre,2n Trimestre,3r Trimestre,Unnamed: 0,1r Trimestre,2n Trimestre,3r Trimestre,1r Trimestre 2016,2n Trimestre 2016,3r Trimestre 2016,4rt Trimestre 2016,1r Trimestre 2017
0,0,BARCELONA,,"674,87","667,89","701,98",0,"674,87","667,89","701,98",,"674,87","667,89","701,98",
1,1,1,1. el Raval,"589,55","550,63","576,45",1,"589,55","550,63","576,45",1. el Raval,"589,55","550,63","576,45",1. el Raval
2,2,1,2. el Barri GÃ²tic,"712,79","728,79","790,74",2,"712,79","728,79","790,74",2. el Barri Gòtic,"712,79","728,79","790,74",2. el Barri Gòtic
3,3,1,3. la Barceloneta,"540,71","541,93","578,88",3,"540,71","541,93","578,88",3. la Barceloneta,"540,71","541,93","578,88",3. la Barceloneta
4,4,1,"4. Sant Pere, Santa Caterina i la Ribera","673,44","676,98","699,10",4,"673,44","676,98","699,10","4. Sant Pere, Santa Caterina i la Ribera","673,44","676,98","699,10","4. Sant Pere, Santa Caterina i la Ribera"
5,5,2,5. el Fort Pienc,"736,09","706,16","719,84",5,"736,09","706,16","719,84",5. el Fort Pienc,"736,09","706,16","719,84",5. el Fort Pienc
6,6,2,6. la Sagrada FamÃ­lia,"673,37","663,23","697,69",6,"673,37","663,23","697,69",6. la Sagrada Família,"673,37","663,23","697,69",6. la Sagrada Família
7,7,2,7. la Dreta de l'Eixample,"921,40","948,96","934,55",7,"921,40","948,96","934,55",7. la Dreta de l'Eixample,"921,40","948,96","934,55",7. la Dreta de l'Eixample
8,8,2,8. l'Antiga Esquerra de l'Eixample,"827,87","821,81","869,72",8,"827,87","821,81","869,72",8. l'Antiga Esquerra de l'Eixample,"827,87","821,81","869,72",8. l'Antiga Esquerra de l'Eixample
9,9,2,9. la Nova Esquerra de l'Eixample,"716,13","708,00","746,78",9,"716,13","708,00","746,78",9. la Nova Esquerra de l'Eixample,"716,13","708,00","746,78",9. la Nova Esquerra de l'Eixample
10,10,2,10. Sant Antoni,"693,43","718,01","713,89",10,"693,43","718,01","713,89",10. Sant Antoni,"693,43","718,01","713,89",10. Sant Antoni
11,11,3,11. el Poble Sec - AEI Parc MontjuÃ¯c,"568,00","578,65","580,89",11,"568,00","578,65","580,89",11. el Poble Sec - AEI Parc Montjuïc,"568,00","578,65","580,89",11. el Poble Sec - AEI Parc Montjuïc
12,12,3,12. la Marina del Prat Vermell - AEI Zona Franca,,,,12,,,,12. la Marina del Prat Vermell - AEI Zona Franca,,,,12. la Marina del Prat Vermell - AEI Zona Franca
13,13,3,13. la Marina de Port,"553,55","454,44","542,81",13,"553,55","454,44","542,81",13. la Marina de Port,"553,55","454,44","542,81",13. la Marina de Port
14,14,3,14. la Font de la Guatlla,"631,50","624,88","630,89",14,"631,50","624,88","630,89",14. la Font de la Guatlla,"631,50","624,88","630,89",14. la Font de la Guatlla
15,15,3,15. Hostafrancs,"580,71","584,91","605,58",15,"580,71","584,91","605,58",15. Hostafrancs,"580,71","584,91","605,58",15. Hostafrancs
16,16,3,16. la Bordeta,"604,74","616,40","603,16",16,"604,74","616,40","603,16",16. la Bordeta,"604,74","616,40","603,16",16. la Bordeta
17,17,3,17. Sants - Badal,"584,27","569,68","629,58",17,"584,27","569,68","629,58",17. Sants - Badal,"584,27","569,68","629,58",17. Sants - Badal
18,18,3,18. Sants,"605,28","618,80","624,78",18,"605,28","618,80","624,78",18. Sants,"605,28","618,80","624,78",18. Sants
19,19,4,19. les Corts,"777,23","765,29","786,29",19,"777,23","765,29","786,29",19. les Corts,"777,23","765,29","786,29",19. les Corts
20,20,4,20. la Maternitat i Sant Ramon,"700,16","748,64","768,46",20,"700,16","748,64","768,46",20. la Maternitat i Sant Ramon,"700,16","748,64","768,46",20. la Maternitat i Sant Ramon
21,21,4,21. Pedralbes,"1.230,00","1.459,12","1.506,20",21,"1.230,00","1.459,12","1.506,20",21. Pedralbes,"1.230,00","1.459,12","1.506,20",21. Pedralbes
22,22,5,"22. Vallvidrera, el Tibidabo i les Planes","837,33","1.051,22","988,66",22,"837,33","1.051,22","988,66","22. Vallvidrera, el Tibidabo i les Planes","837,33","1.051,22","988,66","22. Vallvidrera, el Tibidabo i les Planes"
23,23,5,23. SarriÃ ,"1.042,16","1.030,35","1.081,14",23,"1.042,16","1.030,35","1.081,14",23. Sarrià,"1.042,16","1.030,35","1.081,14",23. Sarrià
24,24,5,24. les Tres Torres,"1.215,85","1.327,22","1.386,13",24,"1.215,85","1.327,22","1.386,13",24. les Tres Torres,"1.215,85","1.327,22","1.386,13",24. les Tres Torres
25,25,5,25. Sant Gervasi - la Bonanova,"927,63","920,62","963,57",25,"927,63","920,62","963,57",25. Sant Gervasi - la Bonanova,"927,63","920,62","963,57",25. Sant Gervasi - la Bonanova
