"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,"845,1",,,,,,,
1,"1. el Raval",735,,,,,,,
1,"2. el Barri Gòtic","905,3",,,,,,,
1,"3. la Barceloneta","722,8",,,,,,,
1,"4. Sant Pere, Santa Caterina i la Ribera","895,3",,,,,,,
2,"5. el Fort Pienc","871,1",,,,,,,
2,"6. la Sagrada Família",847,,,,,,,
2,"7. la Dreta de l'Eixample","1151,1",,,,,,,
2,"8. l'Antiga Esquerra de l'Eixample","1001,5",,,,,,,
2,"9. la Nova Esquerra de l'Eixample","909,1",,,,,,,
2,"10. Sant Antoni",877,,,,,,,
3,"11. el Poble Sec - AEI Parc Montjuïc","715,7",,,,,,,
3,"12. la Marina del Prat Vermell - AEI Zona Franca","nd",,,,,,,
3,"13. la Marina de Port","689,2",,,,,,,
3,"14. la Font de la Guatlla","806,3",,,,,,,
3,"15. Hostafrancs","680,2",,,,,,,
3,"16. la Bordeta","739,3",,,,,,,
3,"17. Sants - Badal","697,6",,,,,,,
3,"18. Sants","737,3",,,,,,,
4,"19. les Corts","936,3",,,,,,,
4,"20. la Maternitat i Sant Ramon","896,4",,,,,,,
4,"21. Pedralbes","1856,6",,,,,,,
5,"22. Vallvidrera, el Tibidabo i les Planes",1248,,,,,,,
5,"23. Sarrià","1291,5",,,,,,,
5,"24. les Tres Torres","1516,5",,,,,,,
5,"25. Sant Gervasi - la Bonanova","1182,1",,,,,,,
5,"26. Sant Gervasi - Galvany","1268,6",,,,,,,
5,"27. el Putxet i el Farró","913,5",,,,,,,
6,"28. Vallcarca i els Penitents","946,6",,,,,,,
6,"29. el Coll","687,4",,,,,,,
6,"30. la Salut","841,4",,,,,,,
6,"31. la Vila de Gràcia","837,1",,,,,,,
6,"32. el Camp d'en Grassot i Gràcia Nova","839,3",,,,,,,
7,"33. el Baix Guinardó","743,9",,,,,,,
7,"34. Can Baró","637,3",,,,,,,
7,"35. el Guinardó","722,7",,,,,,,
7,"36. la Font d'en Fargues","812,9",,,,,,,
7,"37. el Carmel","597,1",,,,,,,
7,"38. la Teixonera","663,9",,,,,,,
7,"39. Sant Genís dels Agudells","622,3",,,,,,,
7,"40. Montbau","716,4",,,,,,,
7,"41. la Vall d'Hebron","816,1",,,,,,,
7,"42. la Clota","nd",,,,,,,
7,"43. Horta","669,9",,,,,,,
8,"44. Vilapicina i la Torre Llobeta","687,4",,,,,,,
8,"45. Porta","654,6",,,,,,,
8,"46. el Turó de la Peira",587,,,,,,,
8,"47. Can Peguera","nd",,,,,,,
8,"48. la Guineueta","634,5",,,,,,,
8,"49. Canyelles","689,6",,,,,,,
8,"50. les Roquetes","504,3",,,,,,,
8,"51. Verdun","595,5",,,,,,,
8,"52. la Prosperitat","624,6",,,,,,,
8,"53. la Trinitat Nova","540,7",,,,,,,
8,"54. Torre Baró","418,1",,,,,,,
8,"55. Ciutat Meridiana","459,2",,,,,,,
8,"56. Vallbona","nd",,,,,,,
9,"57. la Trinitat Vella","497,8",,,,,,,
9,"58. Baró de Viver","nd",,,,,,,
9,"59. el Bon Pastor","622,8",,,,,,,
9,"60. Sant Andreu","708,6",,,,,,,
9,"61. la Sagrera","575,2",,,,,,,
9,"62. el Congrés i els Indians",696,,,,,,,
9,"63. Navas","716,8",,,,,,,
10,"64. el Camp de l'Arpa del Clot","756,6",,,,,,,
10,"65. el Clot",775,,,,,,,
10,"66. el Parc i la Llacuna del Poblenou","850,7",,,,,,,
10,"67. la Vila Olímpica del Poblenou","1108,4",,,,,,,
10,"68. el Poblenou","868,9",,,,,,,
10,"69. Diagonal Mar i el Front Marítim del Poblenou","1148,2",,,,,,,
10,"70. el Besòs i el Maresme","588,9",,,,,,,
10,"71. Provençals del Poblenou","999,6",,,,,,,
10,"72. Sant Martí de Provençals","742,1",,,,,,,
10,"73. la Verneda i la Pau","677,9",,,,,,,
