"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,13,,,,,,,
1,"1. el Raval","13,5",,,,,,,
1,"2. el Barri Gòtic","14,1",,,,,,,
1,"3. la Barceloneta","19,5",,,,,,,
1,"4. Sant Pere, Santa Caterina i la Ribera",15,,,,,,,
2,"5. el Fort Pienc","12,8",,,,,,,
2,"6. la Sagrada Família",13,,,,,,,
2,"7. la Dreta de l'Eixample","12,8",,,,,,,
2,"8. l'Antiga Esquerra de l'Eixample","13,2",,,,,,,
2,"9. la Nova Esquerra de l'Eixample",13,,,,,,,
2,"10. Sant Antoni","12,4",,,,,,,
3,"11. el Poble Sec - AEI Parc Montjuïc",13,,,,,,,
3,"12. la Marina del Prat Vermell - AEI Zona Franca","nd",,,,,,,
3,"13. la Marina de Port","9,9",,,,,,,
3,"14. la Font de la Guatlla","12,6",,,,,,,
3,"15. Hostafrancs","12,4",,,,,,,
3,"16. la Bordeta","10,9",,,,,,,
3,"17. Sants - Badal","12,9",,,,,,,
3,"18. Sants",13,,,,,,,
4,"19. les Corts","13,6",,,,,,,
4,"20. la Maternitat i Sant Ramon","13,2",,,,,,,
4,"21. Pedralbes",16,,,,,,,
5,"22. Vallvidrera, el Tibidabo i les Planes","10,1",,,,,,,
5,"23. Sarrià","16,3",,,,,,,
5,"24. les Tres Torres","16,1",,,,,,,
5,"25. Sant Gervasi - la Bonanova","14,6",,,,,,,
5,"26. Sant Gervasi - Galvany","14,1",,,,,,,
5,"27. el Putxet i el Farró",15,,,,,,,
6,"28. Vallcarca i els Penitents","14,1",,,,,,,
6,"29. el Coll",12,,,,,,,
6,"30. la Salut","12,5",,,,,,,
6,"31. la Vila de Gràcia","14,9",,,,,,,
6,"32. el Camp d'en Grassot i Gràcia Nova","12,9",,,,,,,
7,"33. el Baix Guinardó","12,7",,,,,,,
7,"34. Can Baró","11,9",,,,,,,
7,"35. el Guinardó","12,3",,,,,,,
7,"36. la Font d'en Fargues","14,9",,,,,,,
7,"37. el Carmel","11,5",,,,,,,
7,"38. la Teixonera","10,7",,,,,,,
7,"39. Sant Genís dels Agudells",9,,,,,,,
7,"40. Montbau",13,,,,,,,
7,"41. la Vall d'Hebron","11,7",,,,,,,
7,"42. la Clota","nd",,,,,,,
7,"43. Horta","11,2",,,,,,,
8,"44. Vilapicina i la Torre Llobeta","11,2",,,,,,,
8,"45. Porta","10,2",,,,,,,
8,"46. el Turó de la Peira","10,3",,,,,,,
8,"47. Can Peguera","nd",,,,,,,
8,"48. la Guineueta","9,1",,,,,,,
8,"49. Canyelles",8,,,,,,,
8,"50. les Roquetes","9,4",,,,,,,
8,"51. Verdun","11,3",,,,,,,
8,"52. la Prosperitat","11,6",,,,,,,
8,"53. la Trinitat Nova",10,,,,,,,
8,"54. Torre Baró","7,3",,,,,,,
8,"55. Ciutat Meridiana","7,9",,,,,,,
8,"56. Vallbona","nd",,,,,,,
9,"57. la Trinitat Vella","9,4",,,,,,,
9,"58. Baró de Viver","nd",,,,,,,
9,"59. el Bon Pastor","9,2",,,,,,,
9,"60. Sant Andreu","12,4",,,,,,,
9,"61. la Sagrera","9,8",,,,,,,
9,"62. el Congrés i els Indians","11,2",,,,,,,
9,"63. Navas","10,4",,,,,,,
10,"64. el Camp de l'Arpa del Clot","12,9",,,,,,,
10,"65. el Clot","12,3",,,,,,,
10,"66. el Parc i la Llacuna del Poblenou","13,1",,,,,,,
10,"67. la Vila Olímpica del Poblenou","16,3",,,,,,,
10,"68. el Poblenou","13,4",,,,,,,
10,"69. Diagonal Mar i el Front Marítim del Poblenou","15,8",,,,,,,
10,"70. el Besòs i el Maresme","9,5",,,,,,,
10,"71. Provençals del Poblenou","13,2",,,,,,,
10,"72. Sant Martí de Provençals","10,5",,,,,,,
10,"73. la Verneda i la Pau",10,,,,,,,
