Dte.,Barris,"1r Trimestre 2015","2n Trimestre 2015","3r Trimestre 2015","4rt Trimestre 2015","1r Trimestre 2015 (acumulat)","2n Trimestre 2015 (acumulat)","3r Trimestre 2015 (acumulat)","4rt Trimestre 2015 (acumulat)"
1,"1. el Raval",313,388,363,420,313,701,"1,064","1,484"
1,"2. el Barri Gòtic",150,190,142,202,150,340,482,684
1,"3. la Barceloneta",155,194,163,191,155,349,512,703
1,"4. Sant Pere, Santa Caterina i la Ribera",212,273,223,306,212,485,708,"1,014"
2,"5. el Fort Pienc",176,200,214,216,176,376,590,806
2,"6. la Sagrada Família",341,358,344,413,341,699,"1,043","1,456"
2,"7. la Dreta de l'Eixample",286,338,336,462,286,624,960,"1,422"
2,"8. l'Antiga Esquerra de l'Eixample",336,337,396,437,336,673,"1,069","1,506"
2,"9. la Nova Esquerra de l'Eixample",380,390,450,507,380,770,"1,220","1,727"
2,"10. Sant Antoni",226,257,260,340,226,483,743,"1,083"
3,"11. el Poble Sec - AEI Parc Montjuïc",241,258,249,261,241,499,748,"1,009"
3,"12. la Marina del Prat Vermell - AEI Zona Franca",2,7,3,9,2,9,12,21
3,"13. la Marina de Port",75,93,98,88,75,168,266,354
3,"14. la Font de la Guatlla",46,43,47,66,46,89,136,202
3,"15. Hostafrancs",102,92,111,149,102,194,305,454
3,"16. la Bordeta",77,68,68,94,77,145,213,307
3,"17. Sants - Badal",128,164,175,167,128,292,467,634
3,"18. Sants",228,243,272,325,228,471,743,"1,068"
4,"19. les Corts",211,225,271,281,211,436,707,988
4,"20. la Maternitat i Sant Ramon",82,113,171,151,82,195,366,517
4,"21. Pedralbes",47,45,57,46,47,92,149,195
5,"22. Vallvidrera, el Tibidabo i les Planes",7,8,19,18,7,15,34,52
5,"23. Sarrià",113,106,157,131,113,219,376,507
5,"24. les Tres Torres",65,64,80,88,65,129,209,297
5,"25. Sant Gervasi - la Bonanova",145,180,198,209,145,325,523,732
5,"26. Sant Gervasi - Galvany",260,298,344,363,260,558,902,"1,265"
5,"27. el Putxet i el Farró",240,238,234,304,240,478,712,"1,016"
6,"28. Vallcarca i els Penitents",81,108,95,133,81,189,284,417
6,"29. el Coll",33,38,40,51,33,71,111,162
6,"30. la Salut",77,58,62,87,77,135,197,284
6,"31. la Vila de Gràcia",460,483,522,640,460,943,"1,465","2,105"
6,"32. el Camp d'en Grassot i Gràcia Nova",226,239,211,265,226,465,676,941
7,"33. el Baix Guinardó",129,141,145,190,129,270,415,605
7,"34. Can Baró",32,53,63,63,32,85,148,211
7,"35. el Guinardó",179,199,203,227,179,378,581,808
7,"36. la Font d'en Fargues",26,26,24,34,26,52,76,110
7,"37. el Carmel",149,143,114,153,149,292,406,559
7,"38. la Teixonera",57,53,59,85,57,110,169,254
7,"39. Sant Genís dels Agudells",21,43,37,45,21,64,101,146
7,"40. Montbau",20,29,22,33,20,49,71,104
7,"41. la Vall d'Hebron",13,14,12,23,13,27,39,62
7,"42. la Clota",3,2,6,1,3,5,11,12
7,"43. Horta",82,111,115,119,82,193,308,427
8,"44. Vilapicina i la Torre Llobeta",98,101,80,116,98,199,279,395
8,"45. Porta",110,117,141,122,110,227,368,490
8,"46. el Turó de la Peira",68,53,59,79,68,121,180,259
8,"47. Can Peguera",3,3,3,2,3,6,9,11
8,"48. la Guineueta",30,55,40,63,30,85,125,188
8,"49. Canyelles",3,6,6,6,3,9,15,21
8,"50. les Roquetes",67,61,64,56,67,128,192,248
8,"51. Verdun",57,72,52,55,57,129,181,236
8,"52. la Prosperitat",92,118,108,145,92,210,318,463
8,"53. la Trinitat Nova",23,25,27,38,23,48,75,113
8,"54. Torre Baró",3,8,4,6,3,11,15,21
8,"55. Ciutat Meridiana",30,26,23,36,30,56,79,115
8,"56. Vallbona",2,6,2,2,2,8,10,12
9,"57. la Trinitat Vella",30,39,34,40,30,69,103,143
9,"58. Baró de Viver",8,7,6,4,8,15,21,25
9,"59. el Bon Pastor",37,44,40,52,37,81,121,173
9,"60. Sant Andreu",210,226,231,267,210,436,667,934
9,"61. la Sagrera",128,165,137,147,128,293,430,577
9,"62. el Congrés i els Indians",57,59,53,71,57,116,169,240
9,"63. Navas",122,112,106,109,122,234,340,449
10,"64. el Camp de l'Arpa del Clot",220,251,248,301,220,471,719,"1,020"
10,"65. el Clot",118,148,128,159,118,266,394,553
10,"66. el Parc i la Llacuna del Poblenou",55,79,68,67,55,134,202,269
10,"67. la Vila Olímpica del Poblenou",28,46,50,41,28,74,124,165
10,"68. el Poblenou",160,186,171,203,160,346,517,720
10,"69. Diagonal Mar i el Front Marítim del Poblenou",36,66,51,81,36,102,153,234
10,"70. el Besòs i el Maresme",65,64,74,70,65,129,203,273
10,"71. Provençals del Poblenou",77,76,81,70,77,153,234,304
10,"72. Sant Martí de Provençals",90,80,92,87,90,170,262,349
10,"73. la Verneda i la Pau",70,66,89,103,70,136,225,328
,"NC barri","1,488",362,367,#¡REF!,"1,488","1,850","2,217",#¡REF!
